CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
8a29e5db717b   openchat-grafana           0.06%     74.84MiB / 7.653GiB   0.95%     18.7kB / 6.09kB   1.75MB / 209kB   16
6f6003a59567   openchat-prometheus        0.00%     49.54MiB / 7.653GiB   0.63%     7.4MB / 140kB     5.19MB / 356kB   15
4c1705880f4a   openchat-influxdb          0.09%     52.73MiB / 7.653GiB   0.67%     9.21kB / 2.23kB   8.75MB / 123kB   19
ec51b85c8457   openchat-cadvisor          0.14%     22.73MiB / 7.653GiB   0.29%     9.09kB / 101kB    12.3kB / 0B      17
5c259b0ac282   openchat-redis-exporter    0.00%     10.64MiB / 7.653GiB   0.14%     145kB / 61.8kB    246kB / 0B       12
f2cb9b015be1   openchat-lb-out-small      0.00%     3.82MiB / 256MiB      1.49%     475MB / 454MB     123kB / 12.3kB   2
52c97051f75a   openchat-app-out-small-1   1.34%     493.5MiB / 2GiB       24.10%    47MB / 231MB      0B / 311kB       100
a91f450de9d6   openchat-app-out-small-2   1.20%     491.2MiB / 2GiB       23.98%    46.1MB / 231MB    0B / 246kB       102
3476a9885204   openchat-loadtest-redis    0.96%     10.74MiB / 7.653GiB   0.14%     12.2MB / 13MB     881kB / 0B       6
eb4b467c467a   openchat-loadtest-mysql    2.73%     455.6MiB / 7.653GiB   5.81%     26.7MB / 21.5MB   5.71MB / 472MB   98
