CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
8a29e5db717b   openchat-grafana           0.12%     73.37MiB / 7.653GiB   0.94%     22kB / 9.34kB     1.75MB / 209kB    16
6f6003a59567   openchat-prometheus        0.00%     50.28MiB / 7.653GiB   0.64%     22.3MB / 378kB    5.19MB / 1.1MB    15
4c1705880f4a   openchat-influxdb          0.04%     49.92MiB / 7.653GiB   0.64%     9.95kB / 2.91kB   8.75MB / 344kB    19
ec51b85c8457   openchat-cadvisor          0.42%     27.77MiB / 7.653GiB   0.35%     21.3kB / 281kB    12.3kB / 0B       19
5c259b0ac282   openchat-redis-exporter    0.00%     12.69MiB / 7.653GiB   0.16%     457kB / 198kB     246kB / 0B        14
f2cb9b015be1   openchat-lb-out-small      0.00%     3.84MiB / 256MiB      1.50%     5.77GB / 5.3GB    123kB / 12.3kB    2
52c97051f75a   openchat-app-out-small-1   0.61%     654.4MiB / 2GiB       31.95%    371MB / 2.73GB    0B / 442kB        196
a91f450de9d6   openchat-app-out-small-2   0.83%     835.4MiB / 2GiB       40.79%    358MB / 2.73GB    0B / 410kB        197
3476a9885204   openchat-loadtest-redis    0.70%     10.51MiB / 7.653GiB   0.13%     67.3MB / 72.1MB   881kB / 0B        6
eb4b467c467a   openchat-loadtest-mysql    0.86%     494.7MiB / 7.653GiB   6.31%     141MB / 119MB     5.71MB / 1.25GB   98
